Model	Stok Tanımı	Stok Kodu	Barkod
3I1XC10MZ	3I1XC10MZ Benetton T-Shirt, 13-14 Yaş, Su Yeşili	5003255893003	8056256241294
3I1XC10MZ	3I1XC10MZ Benetton T-Shirt, 6-7 Yaş, Su Yeşili	5003255893004	8056256244875
3I1XC10MZ	3I1XC10MZ Benetton T-Shirt, 7-8 Yaş, Su Yeşili	5003255893005	8056256252108
3J68C901C	3J68C901C Benetton Şort, 13-14 Yaş, Su Yeşili	5003255815003	8056256253082
3I1XC10N3	3I1XC10N3 Benetton T-Shirt, 10-11 Yaş, Siyah	5003255867001	8056256342007
3I1XC10MZ	3I1XC10MZ Benetton T-Shirt, 11-12 Yaş, Lila	5003255873002	8056256347378
3I1XC10MZ	3I1XC10MZ Benetton T-Shirt, 6-7 Yaş, Lila	5003255873004	8056256352402
3I1XC10MZ	3I1XC10MZ Benetton T-Shirt, 6-7 Yaş, Pembe	5003255891004	8056256358916
3I1XC10N3	3I1XC10N3 Benetton T-Shirt, 6-7 Yaş, Siyah	5003255867004	8056256361923
3I1XC10N3	3I1XC10N3 Benetton T-Shirt, 8-9 Yaş, Siyah	5003255867006	8056256362319
3I1XC10N3	3I1XC10N3 Benetton T-Shirt, 7-8 Yaş, Siyah	5003255867005	8056256362326
35RYC10NC	35RYC10NC Benetton T-Shirt, 8-9 Yaş, Gri Melanj	5003255848006	8056256375241
3I1XC10MZ	3I1XC10MZ Benetton T-Shirt, 10-11 Yaş, Lila	5003255873001	8056256643821
3ATNC10KQ 100	3ATNC10KQ 100 Benetton T-Shirt, 10-11 Yaş, Siyah	5003184314001	8056256923817
3J68C901G	3J68C901G Benetton Şort, 10-11 Yaş, Siyah	5003001650001	8033153988163
3J68C901G	3J68C901G Benetton Şort, 7-8 Yaş, Siyah	5003001650005	8033153988200
3J68C901G	3J68C901G Benetton Şort, 8-9 Yaş, Siyah	5003001650006	8033153988217
3J68C901G	3J68C901G Benetton Şort, 11-12 Yaş, Yeşil	5003001598002	8033153988248
3J68C901G	3J68C901G Benetton Şort, 11-12 Yaş, Siyah	5003001650002	8033153988262
3J68C901G	3J68C901G Benetton Şort, 10-11 Yaş, Yeşil	5003001598001	8033153988293
3J68C901G	3J68C901G Benetton Şort, 6-7 Yaş, Siyah	5003001650004	8033153988309
3J68C901G	3J68C901G Benetton Şort, 6-7 Yaş, Yeşil	5003001598004	8033153988484
3J68C901G	3J68C901G Benetton Şort, 7-8 Yaş, Yeşil	5003001598005	8033153988491
3J68C901G	3J68C901G Benetton Şort, 8-9 Yaş, Yeşil	5003001598006	8033153988507
3J68C901G	3J68C901G Benetton Şort, 8-9 Yaş, Lacivert	5003001597006	8033261039719
3J68C901G	3J68C901G Benetton Şort, 6-7 Yaş, Lacivert	5003001597004	8033261039726
3J68C901G	3J68C901G Benetton Şort, 11-12 Yaş, Lacivert	5003001597002	8033261039740
3J68C901G	3J68C901G Benetton Şort, 7-8 Yaş, Lacivert	5003001597005	8033261039757
3J68C901G	3J68C901G Benetton Şort, 10-11 Yaş, Lacivert	5003001597001	8033261039788
4AC7C903O	4AC7C903O Benetton Şort, 6-7 Yaş, Lacivert	5003255843004	8055268212476
4AC7C903O	4AC7C903O Benetton Şort, 10-11 Yaş, Lacivert	5003255843001	8055268212483
4AC7C903O	4AC7C903O Benetton Şort, 8-9 Yaş, Lacivert	5003255843006	8055268225179
4AC7C903O	4AC7C903O Benetton Şort, 7-8 Yaş, Lacivert	5003255843005	8055268225186
4AC7C903O	4AC7C903O Benetton Şort, 10-11 Yaş, Beyaz	5003255850001	8055268228194
4AC7C903O	4AC7C903O Benetton Şort, 6-7 Yaş, Beyaz	5003255850004	8055268228200
4AC7C903O	4AC7C903O Benetton Şort, 7-8 Yaş, Beyaz	5003255850005	8055268228217
4AC7C903O	4AC7C903O Benetton Şort, 8-9 Yaş, Beyaz	5003255850006	8055268228224
FUNKY HT03	FUNKY HT03 Funky Rocks Atkı - Bere, 4-7 Yaş, Siyah	5002750488001	8683132020355
FUNKY HT03	FUNKY HT03 Funky Rocks Atkı -, 4-7 Yaş, Gri Melanj	5002750489001	8683132020386
5SKG80011AK	5SKG80011AK Koton Elbise, 11-12 Yaş, Mavi	5003237150001	8684290526246
IU0IU00703BEH	IU0IU00703BEH Calvin Klein Şort, 16 Yaş, Siyah	5003237164004	8721107531748
BRB4WG-SWT6143	BRB4WG-SWT6143 Barbie Sweatshirt, 9-10 Yaş, Fuşya	5003153304004	8684024307714
BRB5SG-PJM6080	BRB5SG-PJM6080 Barbie Pijama Takım, 7-8 Yaş, Çok Renkli	5003206665003	8684024452087
BRB5SG-PJM6080	BRB5SG-PJM6080 Barbie Pijama Takı, 9-10 Yaş, Çok Renkli	5003206665004	8684024452094
BRB5SG-PJM6079	BRB5SG-PJM6079 Barbie Pijama Tak, 3-4 Yaş, Beyaz - Lila	5003206681001	8684024452155
BRB5SG-PJM6077	BRB5SG-PJM6077 Barbie Pijama Takı, 9-10 Yaş, Çok Renkli	5003206667004	8684024452643
BRB5SG-ELB6458	BRB5SG-ELB6458 Barbie Elbise, 3-4 Yaş, Eflatun	5003221688001	8684024471255
BRB5SG-ELB6458	BRB5SG-ELB6458 Barbie Elbise, 5-6 Yaş, Eflatun	5003221688002	8684024471262
BRB5SG-ELB6458	BRB5SG-ELB6458 Barbie Elbise, 7-8 Yaş, Eflatun	5003221688003	8684024471279
BRB5SG-SRT6001	BRB5SG-SRT6001 Barbie Şort, 3-4 Yaş, Ekru - Lacivert	5003221742001	8684024472146
BRB5SG-SRT6001	BRB5SG-SRT6001 Barbie Şort, 5-6 Yaş, Ekru - Lacivert	5003221742002	8684024472153
BRB5SG-SRT6001	BRB5SG-SRT6001 Barbie Şort, 7-8 Yaş, Ekru - Lacivert	5003221742003	8684024472160
BRB5SG-TST6002	BRB5SG-TST6002 Barbie T-Shirt, 7-8 Yaş, Ekru - Lacivert	5003221761003	8684024472849
BRB5SG-TST6002	BRB5SG-TST6002 Barbie T-Shir, 9-10 Yaş, Ekru - Lacivert	5003221761004	8684024472856
BRB5SG-TST6005	BRB5SG-TST6005 Barbie T-Shirt, 11-12 Yaş, Çok Renkli	5003221753005	8684024473013
BRB5SG-TST6007	BRB5SG-TST6007 Barbie T-Shirt, 7-8 Yaş, Lila	5003221743003	8684024473112
BRB5SG-TST6431	BRB5SG-TST6431 Barbie T-Shirt, 5-6 Yaş, Lila	5003221746002	8684024474058
BRB5SG-TST6431	BRB5SG-TST6431 Barbie T-Shirt, 7-8 Yaş, Lila	5003221746003	8684024474065
BRB5SG-TST6431	BRB5SG-TST6431 Barbie T-Shirt, 9-10 Yaş, Lila	5003221746004	8684024474072
BRB5SG-TST6431	BRB5SG-TST6431 Barbie T-Shirt, 11-12 Yaş, Lila	5003221746005	8684024474089
BRB5SG-TST6040	BRB5SG-TST6040 Barbie T-Shirt, 11-12 Yaş, Ekru	5003221800005	8684024475420
BRB5SG-TST6469	BRB5SG-TST6469 Barbie T-Shirt, 7-8 Yaş, Ekru	5003221811003	8684024475512
BRB5SG-TST6022	BRB5SG-TST6022 Barbie T-Shirt, 3-4 Yaş, Ekru	5003221814001	8684024475598
BRB5SG-TST6016	BRB5SG-TST6016 Barbie T-Shirt, 3-4 Yaş, Ekru	5003221831001	8684024476021
BRB5SG-TST6016	BRB5SG-TST6016 Barbie T-Shirt, 5-6 Yaş, Ekru	5003221831002	8684024476038
BRB5SG-TST6016	BRB5SG-TST6016 Barbie T-Shirt, 7-8 Yaş, Ekru	5003221831003	8684024476045
BRB5SG-TST6016	BRB5SG-TST6016 Barbie T-Shirt, 9-10 Yaş, Ekru	5003221831004	8684024476052
BRB5SG-TST6016	BRB5SG-TST6016 Barbie T-Shirt, 11-12 Yaş, Ekru	5003221831005	8684024476069
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 5-6 Yaş, Ekru	5003221797002	8684024476182
BRB5SG-TST6023	BRB5SG-TST6023 Barbie T-Shirt, 5-6 Yaş, Ekru	5003221840002	8684024476267
BRB5SG-TST6023	BRB5SG-TST6023 Barbie T-Shirt, 7-8 Yaş, Ekru	5003221840003	8684024476274
BRB5SG-TST6023	BRB5SG-TST6023 Barbie T-Shirt, 9-10 Yaş, Ekru	5003221840004	8684024476281
BRB5SG-TST6022	BRB5SG-TST6022 Barbie T-Shirt, 5-6 Yaş, Ekru	5003221814002	8684024476403
BRB5SG-TST6022	BRB5SG-TST6022 Barbie T-Shirt, 7-8 Yaş, Ekru	5003221814003	8684024476410
BRB5SG-TST6022	BRB5SG-TST6022 Barbie T-Shirt, 9-10 Yaş, Ekru	5003221814004	8684024476427
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 3-4 Yaş, Lila	5003221841001	8684024476700
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 5-6 Yaş, Lila	5003221841002	8684024476717
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 7-8 Yaş, Lila	5003221841003	8684024476724
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 9-10 Yaş, Lila	5003221841004	8684024476731
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 11-12 Yaş, Lila	5003221841005	8684024476748
BRB5SG-TST6004	BRB5SG-TST6004 Barbie T-Shirt, 5-6 Yaş, Fuşya	5003224383002	8684024545444
BRB5SG-TST6004	BRB5SG-TST6004 Barbie T-Shirt, 7-8 Yaş, Fuşya	5003224383003	8684024545451
BRB5SG-TST6004	BRB5SG-TST6004 Barbie T-Shirt, 9-10 Yaş, Fuşya	5003224383004	8684024545468
BRB5SG-TST6005	BRB5SG-TST6005 Barbie T-Shirt, 3-4 Yaş, Çok Renkli	5003221753001	8684024472573
BRB5SG-TST6005	BRB5SG-TST6005 Barbie T-Shirt, 5-6 Yaş, Çok Renkli	5003221753002	8684024472580
BRB5SG-TST6005	BRB5SG-TST6005 Barbie T-Shirt, 9-10 Yaş, Çok Renkli	5003221753004	8684024473006
BRB5SG-TST6430	BRB5SG-TST6430 Barbie T-Shirt, 5-6 Yaş, Ekru	5003221767002	8684024474331
BRB5SG-TST6430	BRB5SG-TST6430 Barbie T-Shirt, 7-8 Yaş, Ekru	5003221767003	8684024474348
BRB5SG-TST6430	BRB5SG-TST6430 Barbie T-Shirt, 9-10 Yaş, Ekru	5003221767004	8684024474355
BRB5SG-TST6430	BRB5SG-TST6430 Barbie T-Shirt, 11-12 Yaş, Ekru	5003221767005	8684024474362
BRB5SG-TST6462	BRB5SG-TST6462 Barbie T-Shirt, 5-6 Yaş, Ekru	5003221758002	8684024474430
BRB5SG-TST6462	BRB5SG-TST6462 Barbie T-Shirt, 7-8 Yaş, Ekru	5003221758003	8684024474447
BRB5SG-TST6462	BRB5SG-TST6462 Barbie T-Shirt, 9-10 Yaş, Ekru	5003221758004	8684024474454
BRB5SG-TST6462	BRB5SG-TST6462 Barbie T-Shirt, 11-12 Yaş, Ekru	5003221758005	8684024474461
BRB5SG-TST6015	BRB5SG-TST6015 Barbie T-Shirt, 3-4 Yaş, Ekru	5003221824001	8684024475673
BRB5SG-TST6015	BRB5SG-TST6015 Barbie T-Shirt, 5-6 Yaş, Ekru	5003221824002	8684024475680
BRB5SG-TST6015	BRB5SG-TST6015 Barbie T-Shirt, 7-8 Yaş, Ekru	5003221824003	8684024475697
BRB5SG-TST6001	BRB5SG-TST6001 Barbie T-Shirt, 3-4 Yaş, Ekru	5003221786001	8684024475758
BRB5SG-TST6001	BRB5SG-TST6001 Barbie T-Shirt, 5-6 Yaş, Ekru	5003221786002	8684024475765
BRB5SG-TST6001	BRB5SG-TST6001 Barbie T-Shirt, 7-8 Yaş, Ekru	5003221786003	8684024475772
BRB5SG-TST6001	BRB5SG-TST6001 Barbie T-Shirt, 9-10 Yaş, Ekru	5003221786004	8684024475789
BRB5SG-TST6009	BRB5SG-TST6009 Barbie T-Shirt, 7-8 Yaş, Ekru	5003221794003	8684024475949
BRB5SG-TST6016	BRB5SG-TST6016 Barbie T-Shirt, 7-8 Yaş, Ekru	5003221831003	8684024476045
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 3-4 Yaş, Ekru	5003221797001	8684024476175
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 5-6 Yaş, Ekru	5003221797002	8684024476182
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 7-8 Yaş, Ekru	5003221797003	8684024476199
BRB5SG-TST6012	BRB5SG-TST6012 Barbie T-Shirt, 3-4 Yaş, Ekru	5003221789001	8684024476205
BRB5SG-TST6012	BRB5SG-TST6012 Barbie T-Shirt, 5-6 Yaş, Ekru	5003221789002	8684024476212
BRB5SG-TST6012	BRB5SG-TST6012 Barbie T-Shirt, 7-8 Yaş, Ekru	5003221789003	8684024476229
BRB5SG-TST6012	BRB5SG-TST6012 Barbie T-Shirt, 9-10 Yaş, Ekru	5003221789004	8684024476236
BRB5SG-TST6015	BRB5SG-TST6015 Barbie T-Shirt, 9-10 Yaş, Ekru	5003221824004	8684024476304
BRB5SG-TST6015	BRB5SG-TST6015 Barbie T-Shirt, 11-12 Yaş, Ekru	5003221824005	8684024476311
BRB5SG-TST6020	BRB5SG-TST6020 Barbie T-Shirt, 5-6 Yaş, Beyaz - Lila	5003221815002	8684024476458
BRB5SG-TST6020	BRB5SG-TST6020 Barbie T-Shirt, 7-8 Yaş, Beyaz - Lila	5003221815003	8684024476465
BRB5SG-TST6020	BRB5SG-TST6020 Barbie T-Shirt, 9-10 Yaş, Beyaz - Lila	5003221815004	8684024476472
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 9-10 Yaş, Ekru	5003221797004	8684024476601
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 11-12 Yaş, Ekru	5003221797005	8684024476618
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 3-4 Yaş, Pembe	5003221842001	8684024476755
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 5-6 Yaş, Pembe	5003221842002	8684024476762
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 7-8 Yaş, Pembe	5003221842003	8684024476779
